#{"t_start": 1733856326.3259227, "env_id": "InvertedPendulum-v4"}
r,l,t
4.0,4,0.038743
4.0,4,0.038743
4.0,4,0.038743
4.0,4,0.044271
6.0,6,0.047813
3.0,3,0.04901
8.0,8,0.04901
10.0,10,0.04901
6.0,6,0.060522
3.0,3,0.062533
4.0,4,0.064921
12.0,12,0.066298
4.0,4,0.066298
8.0,8,0.078307
7.0,7,0.081052
6.0,6,0.081052
15.0,15,0.31389
3.0,3,0.416617
3.0,3,0.50721
3.0,3,0.606849
3.0,3,0.68106
3.0,3,0.774086
3.0,3,0.868476
3.0,3,0.971269
3.0,3,1.061282
3.0,3,1.161261
3.0,3,1.271611
3.0,3,1.366892
3.0,3,1.448456
3.0,3,1.551469
3.0,3,1.62342
3.0,3,1.734572
3.0,3,1.829499
3.0,3,1.924032
3.0,3,2.021051
3.0,3,2.128502
3.0,3,2.226249
3.0,3,2.326721
3.0,3,2.421323
3.0,3,2.533148
3.0,3,2.611892
3.0,3,2.72315
3.0,3,2.817419
3.0,3,2.927192
3.0,3,3.006226
3.0,3,3.120336
3.0,3,3.211529
3.0,3,3.321638
3.0,3,3.416543
3.0,3,3.510844
3.0,3,3.589975
3.0,3,3.685486
3.0,3,3.78124
3.0,3,3.891607
3.0,3,3.985752
3.0,3,4.081461
3.0,3,4.164714
3.0,3,4.255699
3.0,3,4.350836
3.0,3,4.453515
3.0,3,4.525048
3.0,3,4.636447
3.0,3,4.73168
3.0,3,4.810962
3.0,3,4.905813
3.0,3,5.016568
3.0,3,5.095891
3.0,3,5.206144
3.0,3,5.301221
3.0,3,5.380723
3.0,3,5.475868
3.0,3,5.586504
3.0,3,5.666817
3.0,3,5.790593
3.0,3,5.869438
3.0,3,5.983922
3.0,3,6.074991
3.0,3,6.169024
3.0,3,6.263986
3.0,3,6.367004
3.0,3,6.449544
3.0,3,6.550432
3.0,3,6.645655
3.0,3,6.741004
3.0,3,6.835547
3.0,3,6.946651
3.0,3,7.041735
3.0,3,7.152002
3.0,3,7.24696
3.0,3,7.357898
3.0,3,7.437354
3.0,3,7.548262
3.0,3,7.64333
3.0,3,7.753278
3.0,3,7.83261
3.0,3,7.957416
3.0,3,8.035939
3.0,3,8.162457
3.0,3,8.257938
3.0,3,8.352921
3.0,3,8.447974
3.0,3,8.543218
3.0,3,8.638284
3.0,3,8.748153
3.0,3,8.826733
3.0,3,8.936392
3.0,3,9.01566
3.0,3,9.12667
3.0,3,9.220828
3.0,3,9.331267
3.0,3,9.426235
3.0,3,9.53704
3.0,3,9.632013
3.0,3,9.74245
3.0,3,9.821892
3.0,3,9.932286
3.0,3,10.01587
3.0,3,10.123112
3.0,3,10.201805
3.0,3,10.312004
3.0,3,10.390953
3.0,3,10.500948
3.0,3,10.595187
3.0,3,10.705713
3.0,3,10.784702
3.0,3,10.894645
3.0,3,10.989125
3.0,3,11.100205
3.0,3,11.195977
3.0,3,11.290966
3.0,3,11.38148
3.0,3,11.480248
3.0,3,11.58348
3.0,3,11.686945
3.0,3,11.772487
3.0,3,11.876746
3.0,3,11.957125
3.0,3,12.082672
3.0,3,12.161711
3.0,3,12.27267
3.0,3,12.372842
3.0,3,12.477263
3.0,3,12.556454
3.0,3,12.68329
3.0,3,12.772546
3.0,3,12.889472
3.0,3,12.98421
3.0,3,13.079809
3.0,3,13.174861
3.0,3,13.272714
3.0,3,13.348521
3.0,3,13.442672
3.0,3,13.538171
3.0,3,13.649206
3.0,3,13.743954
3.0,3,13.838275
3.0,3,13.933437
3.0,3,14.043217
3.0,3,14.122595
3.0,3,14.233228
3.0,3,14.328785
3.0,3,14.437967
3.0,3,14.516767
3.0,3,14.627419
3.0,3,14.706223
3.0,3,14.817625
3.0,3,14.896738
3.0,3,15.007068
3.0,3,15.086022
3.0,3,15.195696
3.0,3,15.27483
3.0,3,15.368247
3.0,3,15.448736
3.0,3,15.548446
3.0,3,15.622696
3.0,3,15.717119
3.0,3,15.811813
3.0,3,15.921346
3.0,3,16.015602
3.0,3,16.12657
3.0,3,16.220901
3.0,3,16.316504
3.0,3,16.410655
3.0,3,16.522035
3.0,3,16.616467
3.0,3,16.727452
3.0,3,16.806604
3.0,3,16.917202
3.0,3,16.996503
3.0,3,17.106533
3.0,3,17.201939
3.0,3,17.297198
3.0,3,17.391381
3.0,3,17.501538
3.0,3,17.596177
3.0,3,17.707076
3.0,3,17.776105
3.0,3,17.876077
3.0,3,17.943369
3.0,3,18.068964
3.0,3,18.131866
3.0,3,18.24566
3.0,3,18.336197
3.0,3,18.431167
3.0,3,18.525313
3.0,3,18.635652
3.0,3,18.714651
3.0,3,18.82581
3.0,3,18.904847
3.0,3,18.99946
3.0,3,19.093596
3.0,3,19.204403
3.0,3,19.299621
3.0,3,19.410014
3.0,3,19.505
3.0,3,19.617553
3.0,3,19.693994
3.0,3,19.804914
3.0,3,19.88413
3.0,3,19.993909
3.0,3,20.08005
3.0,3,20.182797
3.0,3,20.280219
3.0,3,20.388739
3.0,3,20.483748
3.0,3,20.594581
3.0,3,20.657083
3.0,3,20.751228
3.0,3,20.845664
3.0,3,20.95577
3.0,3,21.018882
3.0,3,21.128453
3.0,3,21.223481
3.0,3,21.333569
3.0,3,21.412674
3.0,3,21.523682
3.0,3,21.618712
3.0,3,21.729314
3.0,3,21.823593
3.0,3,21.933356
3.0,3,22.011823
3.0,3,22.122276
3.0,3,22.216527
3.0,3,22.327871
3.0,3,22.422732
3.0,3,22.517087
3.0,3,22.611953
3.0,3,22.722228
3.0,3,22.817222
3.0,3,22.927421
3.0,3,23.006371
3.0,3,23.116777
3.0,3,23.195304
3.0,3,23.306821
3.0,3,23.401845
3.0,3,23.514848
3.0,3,23.60749
3.0,3,23.706467
3.0,3,23.784089
3.0,3,23.90852
3.0,3,24.005262
3.0,3,24.098172
3.0,3,24.193094
3.0,3,24.305078
3.0,3,24.384894
3.0,3,24.495023
3.0,3,24.574716
3.0,3,24.685052
3.0,3,24.785109
3.0,3,24.891223
3.0,3,24.986284
3.0,3,25.097377
3.0,3,25.191572
3.0,3,25.302437
3.0,3,25.402742
3.0,3,25.50745
3.0,3,25.586438
3.0,3,25.713169
3.0,3,25.791707
3.0,3,25.902678
3.0,3,25.986596
3.0,3,26.108438
3.0,3,26.203848
3.0,3,26.314516
3.0,3,26.415096
3.0,3,26.521126
3.0,3,26.616398
3.0,3,26.727913
3.0,3,26.822648
3.0,3,26.933398
3.0,3,27.044514
3.0,3,27.154838
3.0,3,27.24901
3.0,3,27.354771
3.0,3,27.44893
3.0,3,27.559858
3.0,3,27.654831
3.0,3,27.766191
3.0,3,27.863331
3.0,3,27.956633
3.0,3,28.053796
3.0,3,28.163316
3.0,3,28.256012
3.0,3,28.388575
3.0,3,28.494311
3.0,3,28.604627
3.0,3,28.689196
3.0,3,28.794147
3.0,3,28.872679
3.0,3,28.98416
3.0,3,29.063263
3.0,3,29.174165
3.0,3,29.268827
3.0,3,29.389407
3.0,3,29.474458
3.0,3,29.601263
3.0,3,29.690089
3.0,3,29.808089
3.0,3,29.918765
3.0,3,30.01924
3.0,3,30.124996
3.0,3,30.239176
3.0,3,30.363092
3.0,3,30.489238
3.0,3,30.568201
3.0,3,30.678997
3.0,3,30.75771
3.0,3,30.86896
3.0,3,30.948137
3.0,3,31.046071
3.0,3,31.137396
3.0,3,31.247191
3.0,3,31.341361
3.0,3,31.451645
3.0,3,31.545977
3.0,3,31.671373
3.0,3,31.767929
3.0,3,31.882128
3.0,3,31.956979
3.0,3,32.079443
3.0,3,32.165626
3.0,3,32.297419
3.0,3,32.378379
3.0,3,32.493213
3.0,3,32.583236
3.0,3,32.69595
3.0,3,32.779199
3.0,3,32.895207
3.0,3,32.989707
3.0,3,33.0954
3.0,3,33.171917
3.0,3,33.279448
3.0,3,33.370413
3.0,3,33.498033
3.0,3,33.607557
3.0,3,33.721714
3.0,3,33.801084
3.0,3,33.917583
3.0,3,34.012534
3.0,3,34.119942
3.0,3,34.207701
8.0,8,34.475336
3.0,3,34.584088
3.0,3,34.688726
5.0,5,34.859295
11.0,11,35.276037
18.0,18,35.87463
26.0,26,36.732053
23.0,23,37.513144
16.0,16,38.063086
14.0,14,38.519384
9.0,9,38.821029
13.0,13,39.273878
14.0,14,39.74563
10.0,10,40.083045
20.0,20,40.779367
32.0,32,41.838888
31.0,31,42.874861
33.0,33,43.98057
34.0,34,45.106122
38.0,38,46.358083
37.0,37,47.586242
33.0,33,48.679369
33.0,33,49.794999
36.0,36,50.986709
35.0,35,52.173741
33.0,33,53.366224
40.0,40,54.669487
43.0,43,56.122694
44.0,44,57.621564
37.0,37,58.839388
44.0,44,60.279379
42.0,42,61.661319
43.0,43,63.099346
43.0,43,64.518209
43.0,43,65.883521
42.0,42,67.271973
43.0,43,68.660656
46.0,46,70.19998
45.0,45,71.691932
44.0,44,73.16391
44.0,44,74.674443
43.0,43,76.065361
43.0,43,77.505361
44.0,44,78.975264
43.0,43,80.374507
45.0,45,81.884801
44.0,44,83.351516
45.0,45,84.865117
43.0,43,86.305633
44.0,44,87.780971
43.0,43,89.21114
44.0,44,90.700881
42.0,42,92.088577
45.0,45,93.605985
44.0,44,95.059229
46.0,46,96.675791
44.0,44,98.150912
48.0,48,99.759562
44.0,44,101.21181
45.0,45,102.684045
43.0,43,104.101609
45.0,45,105.526702
46.0,46,107.074352
48.0,48,108.620474
46.0,46,110.16662
46.0,46,111.695557
46.0,46,113.212036
52.0,52,114.981784
46.0,46,116.48311
45.0,45,117.985961
45.0,45,119.471853
49.0,49,121.087813
46.0,46,122.663996
46.0,46,124.244124
46.0,46,125.965143
48.0,48,127.657819
52.0,52,129.393907
49.0,49,130.994073
50.0,50,132.688175
51.0,51,134.525087
51.0,51,136.240324
52.0,52,137.947952
51.0,51,139.719189
50.0,50,141.494581
52.0,52,143.292587
51.0,51,145.069523
53.0,53,146.996283
60.0,60,148.999198
57.0,57,150.939738
54.0,54,152.772799
54.0,54,154.647401
57.0,57,156.606048
63.0,63,158.714114
54.0,54,160.538302
61.0,61,162.757211
66.0,66,165.132402
59.0,59,167.282682
56.0,56,169.356061
69.0,69,171.977215
63.0,63,174.377811
62.0,62,176.721938
32.0,32,177.925656
79.0,79,180.929691
69.0,69,183.527913
20.0,20,184.281861
23.0,23,185.165537
30.0,30,186.304218
32.0,32,187.523699
30.0,30,188.708057
22.0,22,189.641318
30.0,30,190.793899
41.0,41,192.455956
40.0,40,194.001902
42.0,42,195.639144
65.0,65,198.155453
72.0,72,200.847663
65.0,65,203.353852
70.0,70,206.180116
62.0,62,208.571245
67.0,67,211.212951
61.0,61,213.52982
63.0,63,215.977555
61.0,61,218.305779
52.0,52,220.307837
58.0,58,222.599651
54.0,54,224.681251
53.0,53,226.671307
51.0,51,228.576681
52.0,52,230.565715
52.0,52,232.46213
58.0,58,234.626535
50.0,50,236.546239
50.0,50,238.442822
51.0,51,240.374091
59.0,59,242.638976
53.0,53,244.74295
52.0,52,246.76965
53.0,53,248.936186
53.0,53,251.490206
64.0,64,254.249244
52.0,52,256.69437
55.0,55,259.039527
59.0,59,261.458701
68.0,68,264.242048
65.0,65,267.117143
68.0,68,269.89461
60.0,60,272.274209
58.0,58,274.602983
55.0,55,276.859531
69.0,69,279.436581
56.0,56,281.605211
58.0,58,283.958317
84.0,84,287.607868
55.0,55,289.733344
60.0,60,291.970801
64.0,64,294.45623
62.0,62,296.889211
61.0,61,299.232336
60.0,60,301.471534
60.0,60,303.731652
56.0,56,305.838338
60.0,60,308.064614
62.0,62,310.448501
62.0,62,312.818051
62.0,62,315.15018
59.0,59,317.369837
62.0,62,319.693259
64.0,64,322.076009
61.0,61,324.388455
65.0,65,326.864095
60.0,60,329.214833
62.0,62,331.719269
66.0,66,334.335094
66.0,66,336.946966
63.0,63,339.445473
63.0,63,341.885916
64.0,64,344.379987
67.0,67,346.953302
66.0,66,349.498642
66.0,66,352.008433
67.0,67,354.551688
64.0,64,357.009302
67.0,67,359.536484
72.0,72,362.248579
78.0,78,365.204453
78.0,78,368.114751
80.0,80,371.169072
77.0,77,374.101816
87.0,87,377.382656
86.0,86,380.60105
87.0,87,383.913647
82.0,82,386.978289
91.0,91,390.444844
86.0,86,393.658055
89.0,89,397.013708
87.0,87,400.243787
100.0,100,404.000687
100.0,100,407.770433
101.0,101,411.437317
94.0,94,414.746369
104.0,104,418.466597
103.0,103,422.054855
102.0,102,425.672858
101.0,101,429.155585
100.0,100,432.637007
112.0,112,436.541319
107.0,107,440.302815
106.0,106,444.001976
112.0,112,448.080889
106.0,106,451.873992
109.0,109,455.495197
108.0,108,459.223231
111.0,111,462.889381
115.0,115,466.813627
112.0,112,470.590077
116.0,116,474.54228
122.0,122,478.740927
122.0,122,482.888469
120.0,120,486.841097
121.0,121,490.911369
124.0,124,495.063802
130.0,130,499.470896
129.0,129,503.812307
139.0,139,508.375473
139.0,139,513.024112
141.0,141,517.86351
147.0,147,522.72541
157.0,157,527.973274
139.0,139,532.65986
147.0,147,536.040289
148.0,148,539.870108
151.0,151,545.128701
159.0,159,550.346473
162.0,162,555.751086
160.0,160,561.010336
164.0,164,566.284235
163.0,163,571.828384
174.0,174,577.742718
172.0,172,583.694224
184.0,184,590.280873
181.0,181,596.492747
189.0,189,603.074032
196.0,196,610.610833
191.0,191,618.159814
200.0,200,626.181063
201.0,201,633.923642
199.0,199,641.564331
210.0,210,649.449532
239.0,239,658.605347
230.0,230,667.329115
253.0,253,676.832886
292.0,292,689.003688
315.0,315,701.342675
323.0,323,714.326695
345.0,345,728.546475
417.0,417,744.641706
540.0,540,765.648221
710.0,710,793.655872
849.0,849,826.345534
1000.0,1000,864.158211
1000.0,1000,902.967842
1000.0,1000,942.065328
1000.0,1000,981.025311
1000.0,1000,1019.241681
1000.0,1000,1057.388536
1000.0,1000,1096.010988
1000.0,1000,1134.527385
1000.0,1000,1172.916504
1000.0,1000,1211.526504
1000.0,1000,1250.388877
1000.0,1000,1289.012235
1000.0,1000,1327.477496
1000.0,1000,1365.408362
1000.0,1000,1403.449232
1000.0,1000,1443.424953
1000.0,1000,1483.343989
1000.0,1000,1522.700977
1000.0,1000,1561.285418
1000.0,1000,1598.428877
1000.0,1000,1636.261537
1000.0,1000,1673.858074
1000.0,1000,1704.691686
1000.0,1000,1741.318984
1000.0,1000,1775.043276
1000.0,1000,1800.203059
1000.0,1000,1824.914903
1000.0,1000,1853.616479
1000.0,1000,1879.210156
1000.0,1000,1906.643562
1000.0,1000,1939.22719
1000.0,1000,1966.515143
1000.0,1000,1992.01035
1000.0,1000,2016.808534
1000.0,1000,2040.94079
1000.0,1000,2064.996152
1000.0,1000,2089.573444
1000.0,1000,2118.086178
1000.0,1000,2144.489028
1000.0,1000,2171.523376
544.0,544,2186.194935
1000.0,1000,2212.399135
1000.0,1000,2238.547601
1000.0,1000,2263.430859
1000.0,1000,2288.048968
1000.0,1000,2315.530022
238.0,238,2322.109167
462.0,462,2335.35568
1000.0,1000,2363.406632
1000.0,1000,2390.011509
1000.0,1000,2415.829568
1000.0,1000,2442.525834
1000.0,1000,2470.794789
1000.0,1000,2497.604989
1000.0,1000,2525.344943
1000.0,1000,2551.956631
1000.0,1000,2582.059489
1000.0,1000,2614.890755
1000.0,1000,2636.156527
1000.0,1000,2654.413841
1000.0,1000,2672.327116
1000.0,1000,2691.481426
1000.0,1000,2712.320297
1000.0,1000,2741.466776
1000.0,1000,2762.306229
1000.0,1000,2784.459218
1000.0,1000,2812.860361
1000.0,1000,2835.783002
1000.0,1000,2858.176861
1000.0,1000,2880.395132
1000.0,1000,2901.744626
1000.0,1000,2920.851387
1000.0,1000,2939.877524
1000.0,1000,2958.353616
1000.0,1000,2978.606406
1000.0,1000,2997.797776
1000.0,1000,3016.552631
1000.0,1000,3038.308225
